Company,Loan ID,True Payment Date,True Devolution,True Total Payment,True Payment Currency,True Principal Payment,True Interest Payment,True Fee Payment,True Other Payment,True Tax Payment,True Fee Tax Payment,True Rebates,True Outstanding Loan Value,True Payment Status
ABF,DSB1244-016,2024-01-05,81.06,741.44,USD,627.81,26.69,2.13,,3.47,0.28,0.0,0,On Time
ABF,DSB1262-001,2024-01-05,84.4,902.65,USD,757.25,45.13,8.85,,5.87,1.15,0.0,0,On Time
ABF,DSB1655-001,2024-05-08,11.2,136.17,USD,114.68,8.17,0.94,,1.06,0.12,0.0,0,On Time
ABF,DSB0523-004,2023-07-13,99,"3,416",USD,"3,096.82",184.46,10.39,,23.98,1.35,0.0,0,On Time
ABF,DSB0262-002,2023-05-06,9.59,"1,000",USD,893.34,80,5.9,,10.4,0.77,0.0,0,On Time
ABF,DSB0989-002,2023-10-13,54.79,450,USD,377.1,11.25,4.78,,1.46,0.62,0.0,0,On Time
ABF,DSB0985-003,2023-11-21,7.47,"1,810",USD,"1,638.8",137.56,7.34,,17.88,0.95,0.0,0,On Time
ABF,DSB2591-054,2025-03-13,15.12,540.6,USD,458.05,58.38,1.29,,7.59,0.17,0.0,0,Late
ABF,DSB2567-059,2025-03-13,3.43,122.4,USD,103.58,13.22,0.4,,1.72,0.05,0.0,0,Late
ABF,DSB1525-002,2024-03-26,17.74,612.27,USD,551.37,33.06,5.13,,4.3,0.67,0.0,0,Prepayment
ABF,DSB1033-002,2023-10-27,34.67,284.76,USD,240.3,7.12,1.55,,0.93,0.2,0.0,0,On Time
ABF,DSB2202-021,2024-10-31,0,485.9,USD,434.99,43.73,1.32,,5.69,0.17,0.0,5.69,Late
ABF,DSB2349-001,2024-10-31,27.13,550,USD,497.47,19.8,2.68,,2.57,0.35,0.0,0,Late
ABF,DSB0828-005,2023-09-01,5.62,46.1,USD,38.58,1.15,0.53,,0.15,0.07,0.0,0,On Time
ABF,DSB2571-004,2025-01-07,19.33,392,USD,354.92,14.11,1.59,,1.83,0.21,0.0,0,Prepayment
ABF,DSB2763-001,2025-05-05,57.66,"1,558.27",USD,"1,318.45",155.83,5.38,,20.26,0.7,0.0,0,Prepayment
ABF,DSB2552-014,2025-01-17,61.76,694.07,USD,587.69,37.48,2.01,,4.87,0.26,0.0,0,Late
ABF,DSB1058-036,2023-11-30,22.49,252.6,USD,213.81,13.64,0.79,,1.77,0.1,0.0,0,Prepayment
ABF,DSB1607-003,2024-05-17,0,"1,000",USD,883.55,100,3.05,,13,0.4,0.0,13,On Time
ABF,DSB2356-002,2024-12-03,80.49,"1,350.64",USD,"1,143.88",108.05,3.69,,14.05,0.48,0.0,0,Prepayment
ABF,DSB0014-001,2023-03-28,"1,106.89","2,600",USD,"1,175.8",280.8,0.0,,36.5,0,0.0,0,On Time
